product_id,batch_n,PRODUCTION DATE,BATCH INTO STORAGE,BATCH OUT OF STORAGE,days_in_storage,weekday
5409,1752,09/10/2023 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,0.00
5409,1752,09/10/2023 00:00,29/02/2024 00:00,01/03/2024 00:00,1.00,0.00
5409,1752,09/10/2023 00:00,27/08/2024 00:00,28/08/2024 00:00,1.00,0.00
5409,1752,29/02/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,3.00
5409,1752,29/02/2024 00:00,29/02/2024 00:00,01/03/2024 00:00,1.00,3.00
5409,1752,29/02/2024 00:00,27/08/2024 00:00,28/08/2024 00:00,1.00,3.00
5409,1752,27/08/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,1.00
5409,1752,27/08/2024 00:00,29/02/2024 00:00,01/03/2024 00:00,1.00,1.00
5409,1752,27/08/2024 00:00,27/08/2024 00:00,28/08/2024 00:00,1.00,1.00
5409,1753,09/10/2023 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,0.00
5409,1753,09/10/2023 00:00,29/02/2024 00:00,01/03/2024 00:00,1.00,0.00
5409,1753,09/10/2023 00:00,27/08/2024 00:00,28/08/2024 00:00,1.00,0.00
5409,1753,29/02/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,3.00
5409,1753,29/02/2024 00:00,29/02/2024 00:00,01/03/2024 00:00,1.00,3.00
5409,1753,29/02/2024 00:00,27/08/2024 00:00,28/08/2024 00:00,1.00,3.00
5409,1753,27/08/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,1.00
5409,1753,27/08/2024 00:00,29/02/2024 00:00,01/03/2024 00:00,1.00,1.00
5409,1753,27/08/2024 00:00,27/08/2024 00:00,28/08/2024 00:00,1.00,1.00
5409,1754,09/10/2023 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,0.00
5409,1754,09/10/2023 00:00,29/02/2024 00:00,01/03/2024 00:00,1.00,0.00
5409,1754,09/10/2023 00:00,16/05/2024 00:00,17/05/2024 00:00,1.00,0.00
5409,1754,09/10/2023 00:00,18/06/2024 00:00,18/06/2024 00:00,0.00,0.00
5409,1754,09/10/2023 00:00,27/08/2024 00:00,28/08/2024 00:00,1.00,0.00
5409,1754,29/02/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,3.00
5409,1754,29/02/2024 00:00,29/02/2024 00:00,01/03/2024 00:00,1.00,3.00
5409,1754,29/02/2024 00:00,16/05/2024 00:00,17/05/2024 00:00,1.00,3.00
5409,1754,29/02/2024 00:00,18/06/2024 00:00,18/06/2024 00:00,0.00,3.00
5409,1754,29/02/2024 00:00,27/08/2024 00:00,28/08/2024 00:00,1.00,3.00
5409,1754,16/05/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,3.00
5409,1754,16/05/2024 00:00,29/02/2024 00:00,01/03/2024 00:00,1.00,3.00
5409,1754,16/05/2024 00:00,16/05/2024 00:00,17/05/2024 00:00,1.00,3.00
5409,1754,16/05/2024 00:00,18/06/2024 00:00,18/06/2024 00:00,0.00,3.00
5409,1754,16/05/2024 00:00,27/08/2024 00:00,28/08/2024 00:00,1.00,3.00
5409,1754,18/06/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,1.00
5409,1754,18/06/2024 00:00,29/02/2024 00:00,01/03/2024 00:00,1.00,1.00
5409,1754,18/06/2024 00:00,16/05/2024 00:00,17/05/2024 00:00,1.00,1.00
5409,1754,18/06/2024 00:00,18/06/2024 00:00,18/06/2024 00:00,0.00,1.00
5409,1754,18/06/2024 00:00,27/08/2024 00:00,28/08/2024 00:00,1.00,1.00
5409,1754,27/08/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,1.00
5409,1754,27/08/2024 00:00,29/02/2024 00:00,01/03/2024 00:00,1.00,1.00
5409,1754,27/08/2024 00:00,16/05/2024 00:00,17/05/2024 00:00,1.00,1.00
5409,1754,27/08/2024 00:00,18/06/2024 00:00,18/06/2024 00:00,0.00,1.00
5409,1754,27/08/2024 00:00,27/08/2024 00:00,28/08/2024 00:00,1.00,1.00
5409,1755,09/10/2023 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,0.00
5409,1755,09/10/2023 00:00,18/06/2024 00:00,18/06/2024 00:00,0.00,0.00
5409,1755,18/06/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,1.00
5409,1755,18/06/2024 00:00,18/06/2024 00:00,18/06/2024 00:00,0.00,1.00
5409,1760,09/10/2023 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,0.00
5409,1760,09/10/2023 00:00,18/06/2024 00:00,18/06/2024 00:00,0.00,0.00
5409,1760,18/06/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,1.00
5409,1760,18/06/2024 00:00,18/06/2024 00:00,18/06/2024 00:00,0.00,1.00
5409,1761,09/10/2023 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,0.00
5409,1783,09/10/2023 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,0.00
5409,1783,09/10/2023 00:00,11/04/2024 00:00,11/04/2024 00:00,0.00,0.00
5409,1783,09/10/2023 00:00,16/05/2024 00:00,17/05/2024 00:00,1.00,0.00
5409,1783,11/04/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,3.00
5409,1783,11/04/2024 00:00,11/04/2024 00:00,11/04/2024 00:00,0.00,3.00
5409,1783,11/04/2024 00:00,16/05/2024 00:00,17/05/2024 00:00,1.00,3.00
5409,1783,16/05/2024 00:00,09/10/2023 00:00,10/10/2023 00:00,1.00,3.00
5409,1783,16/05/2024 00:00,11/04/2024 00:00,11/04/2024 00:00,0.00,3.00
5409,1783,16/05/2024 00:00,16/05/2024 00:00,17/05/2024 00:00,1.00,3.00
